washroom
i love u
yes
call me
hi
good job
dislike
good luck
rock
you
ok
looser
bang bang
peace
hate u
stare
i really love u
thank u
i am hungry
i need water
i am fine
give me FOOD
vulcan salute
stop
some
help
go to hell
cut ur nails
open relationship
tea time
check pleace
SHOCKER
hurts a lot
i want to talk
stay strong
up
down
smile
please
i
anything
